product_category_id,category_name,department_id,department_name
16,As Seen on  TV!,3,Footwear
68,Garden,6,Outdoors
4,Basketball,2,Fitness
69,Health and Beauty,12,Health and Beauty 
9,Cardio Equipment,3,Footwear
10,Strength Training,3,Footwear
33,Golf Shoes,6,Outdoors
34,Golf Bags & Carts,6,Outdoors
66,Crafts,4,Apparel
17,Cleats,4,Apparel
40,Accessories,6,Outdoors
36,Golf Balls,6,Outdoors
7,Hockey,2,Fitness
5,Lacrosse,2,Fitness
18,Men's Footwear,4,Apparel
63,Children's Clothing,4,Apparel
59,Books ,8,Book Shop
46,Indoor/Outdoor Games,7,Fan Shop
70,Men's Clothing,4,Apparel
76,Women's Clothing,4,Apparel
26,Girls' Apparel,5,Golf
60,Baby ,4,Apparel
31,Women's Golf Clubs,6,Outdoors
73,Sporting Goods,2,Fitness
29,Shop By Sport,5,Golf
24,Women's Apparel,5,Golf
72,Pet Supplies,11,Pet Shop
65,Consumer Electronics,10,Technology
32,Golf Apparel,6,Outdoors
11,Fitness Accessories,3,Footwear
12,Boxing & MMA,3,Footwear
67,DVDs,9,Discs Shop
3,Baseball & Softball,2,Fitness
44,Hunting & Shooting,7,Fan Shop
75,Video Games,9,Discs Shop
43,Camping & Hiking,7,Fan Shop
6,Tennis & Racquet,2,Fitness
2,Soccer,2,Fitness
41,Trade-In,6,Outdoors
13,Electronics,3,Footwear
37,Electronics,6,Outdoors
74,Toys,7,Fan Shop
48,Water Sports,7,Fan Shop
45,Fishing,7,Fan Shop
64,Computers,10,Technology
35,Golf Gloves,6,Outdoors
61,CDs ,9,Discs Shop
30,Men's Golf Clubs,6,Outdoors
71,Music,9,Discs Shop
38,Kids' Golf Clubs,6,Outdoors
62,Cameras ,10,Technology
